,OUTPUT_LABEL
0,0
1,0
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,1
100,0
101,1
102,0
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,1
123,0
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,0
144,0
145,1
146,1
147,1
148,1
149,0
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,0
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,1
175,0
176,0
177,1
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,1
190,0
191,1
192,0
193,0
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,1
233,1
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,0
271,1
272,1
273,0
274,1
275,0
276,0
277,1
278,0
279,1
280,0
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,0
291,0
292,1
293,0
294,1
295,1
296,1
297,0
298,0
299,0
300,0
301,1
302,1
303,1
304,1
305,1
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,0
326,1
327,1
328,1
329,1
330,0
331,1
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,1
346,1
347,0
348,1
349,1
350,1
351,1
352,0
353,1
354,1
355,0
356,1
357,0
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,0
386,1
387,1
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,0
408,1
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,1
425,1
426,0
427,1
428,0
429,0
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
440,0
441,0
442,0
443,1
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,0
458,1
459,0
460,0
461,0
462,1
463,0
464,1
465,1
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,1
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,0
487,1
488,1
489,0
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,0
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,1
507,0
508,1
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,1
523,1
524,1
525,0
526,0
527,1
528,0
529,1
530,1
531,0
532,1
533,0
534,0
535,0
536,0
537,1
538,1
539,0
